gcam_scenario,target_scenario,Sector,Technology,Policy_Type,Year,MSG_Impl,Value,target_num,target_unit,GCAM_Share,iamc_var,iamc_raw,iamc_raw_unit,conversion,gcam_value,gen_var,gen_raw_EJ,gen_GWa,cf,cf_source,gen_implied_GW,is_ndc,ndc_mult,gap_abs,gap_pct,direction,ref_gcam_value,ref_gap_pct,cm_gcam_value,cm_gap_pct,gap_change_pct,cm_vs_ref,calc_note
CurrentMeasures,Current Measures,Power,Hydropower,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),4.555,4.555,GWa,0.219952678,Secondary Energy|Electricity|Hydro,0.143679,EJ,31.70979,4.55603091741,NA,NA,NA,NA,fixedOutput (no CF),NA,FALSE,NA,0.001030917410000498,0.02263265444567504,~OK,3.96867047724,-12.872217843249173,4.55603091741,0.02263265444567504,12.894850497694847,CLOSED (on target),IAMC 'Secondary Energy|Electricity|Hydro' = 0.143679 EJ * 31.70979 = 4.556 GWa
Reference,Current Measures,Power,Hydropower,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),4.555,4.555,GWa,0.219952678,Secondary Energy|Electricity|Hydro,0.125156,EJ,31.70979,3.96867047724,NA,NA,NA,NA,fixedOutput (no CF),NA,FALSE,NA,-0.5863295227599998,-12.872217843249173,UNDER,3.96867047724,-12.872217843249173,4.55603091741,0.02263265444567504,12.894850497694847,CLOSED (on target),IAMC 'Secondary Energy|Electricity|Hydro' = 0.125156 EJ * 31.70979 = 3.969 GWa
CurrentMeasures,Current Measures,Power,Hydropower,Total Capacity (GW),2025,Hard bound (Min/Max),10.635,10.635,GW,NA,Capacity|Electricity|Hydro,40.55899558113849,GW,1,40.55899558113849,Secondary Energy|Electricity|Hydro,0.143679,4.55603091741,NA,fixedOutput (no CF),NA,FALSE,NA,29.92399558113849,281.3727840257498,OVER,35.33015716251483,232.20646133065196,40.55899558113849,281.3727840257498,49.16632269509785,WIDENING,IAMC direct = 40.56 GW. fixedOutput (no CF) — no implied GW. Gen = 0.143679 EJ = 4.556 GWa
Reference,Current Measures,Power,Hydropower,Total Capacity (GW),2025,Hard bound (Min/Max),10.635,10.635,GW,NA,Capacity|Electricity|Hydro,35.33015716251483,GW,1,35.33015716251483,Secondary Energy|Electricity|Hydro,0.125156,3.96867047724,NA,fixedOutput (no CF),NA,FALSE,NA,24.695157162514832,232.20646133065196,OVER,35.33015716251483,232.20646133065196,40.55899558113849,281.3727840257498,49.16632269509785,WIDENING,IAMC direct = 35.33 GW. fixedOutput (no CF) — no implied GW. Gen = 0.125156 EJ = 3.969 GWa
CurrentMeasures,Current Measures,Power,Nuclear,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),2.643,2.643,GWa,0.12762567,Secondary Energy|Electricity|Nuclear,0.06141826,EJ,31.70979,1.9475601267654001,NA,NA,NA,0.9,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,-0.6954398732345997,-26.312518851101014,UNDER,1.7027523034200003,-35.57501689670827,1.9475601267654001,-26.312518851101014,9.262498045607256,CLOSING,IAMC 'Secondary Energy|Electricity|Nuclear' = 0.061418 EJ * 31.70979 = 1.948 GWa
Reference,Current Measures,Power,Nuclear,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),2.643,2.643,GWa,0.12762567,Secondary Energy|Electricity|Nuclear,0.053698,EJ,31.70979,1.7027523034200003,NA,NA,NA,0.9,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,-0.9402476965799995,-35.57501689670827,UNDER,1.7027523034200003,-35.57501689670827,1.9475601267654001,-26.312518851101014,9.262498045607256,CLOSING,IAMC 'Secondary Energy|Electricity|Nuclear' = 0.053698 EJ * 31.70979 = 1.703 GWa
CurrentMeasures,Current Measures,Power,Nuclear,Total Capacity (GW),2025,Hard bound (Min/Max),3.262,3.262,GW,NA,Capacity|Electricity|Nuclear,15.69447407377344,GW,1,15.69447407377344,Secondary Energy|Electricity|Nuclear,0.06141826,1.9475601267654001,0.9,A23.globaltech_capacity_factor.csv,2.163955696406,FALSE,NA,12.43247407377344,381.1304130525273,OVER,14.73027904254474,351.57201234042736,15.69447407377344,381.1304130525273,29.55840071209991,WIDENING,IAMC direct = 15.69 GW (gcamreport blended CF). Gen = 0.061418 EJ = 1.948 GWa / CF 0.9000 = 2.2 GW implied (A23.globaltech_capacity_factor.csv)
Reference,Current Measures,Power,Nuclear,Total Capacity (GW),2025,Hard bound (Min/Max),3.262,3.262,GW,NA,Capacity|Electricity|Nuclear,14.73027904254474,GW,1,14.73027904254474,Secondary Energy|Electricity|Nuclear,0.053698,1.7027523034200003,0.9,A23.globaltech_capacity_factor.csv,1.8919470038000004,FALSE,NA,11.46827904254474,351.57201234042736,OVER,14.73027904254474,351.57201234042736,15.69447407377344,381.1304130525273,29.55840071209991,WIDENING,IAMC direct = 14.73 GW (gcamreport blended CF). Gen = 0.053698 EJ = 1.703 GWa / CF 0.9000 = 1.9 GW implied (A23.globaltech_capacity_factor.csv)
CurrentMeasures,Current Measures,Power,Nuclear Power,Additional Capacity (GW),2035,Hard bound (Min/Max),1.1,1.1,GW,NA,Capacity Additions|Electricity|Nuclear,0.2815871908960754,GW,1,0.2815871908960754,Secondary Energy|Electricity|Nuclear,0.0966176,3.063723806304,0.9,A23.globaltech_capacity_factor.csv,3.40413756256,FALSE,NA,-0.8184128091039247,-74.40116446399314,UNDER,0.01912963098821379,-98.26094263743511,0.2815871908960754,-74.40116446399314,23.859778173441967,CLOSING,IAMC 'Capacity Additions' = 0.2816 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.096618 EJ = 3.064 GWa. CF = 0.9000 (A23.globaltech_capacity_factor.csv)
Reference,Current Measures,Power,Nuclear Power,Additional Capacity (GW),2035,Hard bound (Min/Max),1.1,1.1,GW,NA,Capacity Additions|Electricity|Nuclear,0.01912963098821379,GW,1,0.01912963098821379,Secondary Energy|Electricity|Nuclear,0.04953697999999999,1.5708072330341998,0.9,A23.globaltech_capacity_factor.csv,1.7453413700379996,FALSE,NA,-1.0808703690117862,-98.26094263743511,UNDER,0.01912963098821379,-98.26094263743511,0.2815871908960754,-74.40116446399314,23.859778173441967,CLOSING,IAMC 'Capacity Additions' = 0.0191 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.049537 EJ = 1.571 GWa. CF = 0.9000 (A23.globaltech_capacity_factor.csv)
CurrentMeasures,Current Measures,Power,RFO,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.3406,0.3406,GWa,0.016446955,Secondary Energy|Electricity|Oil,0.05613995,EJ,31.70979,1.7801860251105002,NA,NA,NA,0.8,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.4395860251105002,422.66178071359366,OVER,1.9370118651219002,468.705773670552,1.7801860251105002,422.66178071359366,-46.043992956958334,CLOSING,IAMC 'Secondary Energy|Electricity|Oil' = 0.056140 EJ * 31.70979 = 1.780 GWa
Reference,Current Measures,Power,RFO,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.3406,0.3406,GWa,0.016446955,Secondary Energy|Electricity|Oil,0.06108561,EJ,31.70979,1.9370118651219002,NA,NA,NA,0.8,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.5964118651219001,468.705773670552,OVER,1.9370118651219002,468.705773670552,1.7801860251105002,422.66178071359366,-46.043992956958334,CLOSING,IAMC 'Secondary Energy|Electricity|Oil' = 0.061086 EJ * 31.70979 = 1.937 GWa
CurrentMeasures,Current Measures,Power,Solar,Additional Capacity (GW),2030,Hard bound (Min),2.6742,2.6742,GW,NA,Capacity Additions|Electricity|Solar,7.201097603531163,GW,1,7.201097603531163,Secondary Energy|Electricity|Solar,0.20556743641,6.5185002393994544,0.2596,electricity_water.xml (Pak),25.109785205698977,FALSE,NA,4.526897603531163,169.280442881279,OVER,6.045788881493612,126.07841154340036,7.201097603531163,169.280442881279,43.20203133787862,WIDENING,IAMC 'Capacity Additions' = 7.2011 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.205567 EJ = 6.519 GWa. CF = 0.2596 (electricity_water.xml (Pak))
