gcam_scenario,target_scenario,Sector,Technology,Policy_Type,Year,MSG_Impl,Value,target_num,target_unit,GCAM_Share,iamc_var,iamc_raw,iamc_raw_unit,conversion,gcam_value,gen_var,gen_raw_EJ,gen_GWa,cf,cf_source,gen_implied_GW,is_ndc,ndc_mult,gap_abs,gap_pct,direction,calc_note
Reference,Current Measures,Power,Solar,Total Capacity (GW),2025,Hard bound (Min/Max),28.27,28.27,GW,NA,Capacity|Electricity|Solar,19.78518747238745,GW,1,19.78518747238745,Secondary Energy|Electricity|Solar,0.04279878912,1.357140615249485,0.2596,electricity_water.xml (Pak),5.227814388480296,FALSE,NA,-8.48481252761255,-30.01348612526548,UNDER,IAMC direct = 19.79 GW (gcamreport blended CF). Gen = 0.042799 EJ = 1.357 GWa / CF 0.2596 = 5.2 GW implied (electricity_water.xml (Pak))
Reference,Current Measures,Power,Wind,Additional Capacity (GW),2030,Hard bound (Min),0.4358,0.4358,GW,NA,Capacity Additions|Electricity|Wind,1.301473073862689,GW,1,1.301473073862689,Secondary Energy|Electricity|Wind,0.0782433891,2.4810814372492893,0.35,electricity_water.xml (Pak),7.088804106426541,FALSE,NA,0.865673073862689,198.63998941319159,OVER,IAMC 'Capacity Additions' = 1.3015 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.078243 EJ = 2.481 GWa. CF = 0.3500 (electricity_water.xml (Pak))
Reference,Current Measures,Power,Wind,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.45,0.45,GWa,0.021729683,Secondary Energy|Electricity|Wind,0.0238305111,EJ,31.70979,0.755660502573669,NA,NA,NA,0.35,electricity_water.xml (Pak),NA,FALSE,NA,0.305660502573669,67.92455612748199,OVER,IAMC 'Secondary Energy|Electricity|Wind' = 0.023831 EJ * 31.70979 = 0.756 GWa
Reference,Current Measures,Power,Wind,Total Capacity (GW),2025,Hard bound (Min/Max),1.845,1.845,GW,NA,Capacity|Electricity|Wind,6.482097104587294,GW,1,6.482097104587294,Secondary Energy|Electricity|Wind,0.0238305111,0.755660502573669,0.35,electricity_water.xml (Pak),2.15903000735334,FALSE,NA,4.637097104587294,251.33317640039533,OVER,IAMC direct = 6.48 GW (gcamreport blended CF). Gen = 0.023831 EJ = 0.756 GWa / CF 0.3500 = 2.2 GW implied (electricity_water.xml (Pak))
Reference,Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2025,Hard bound (Min/Max),0.007907,0.007907,GWa,2.96921e-4,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.037307009,EJ,31.70979,1.1829974209181102,NA,NA,NA,NA,NA,NA,FALSE,NA,1.1750904209181101,14861.393966335021,OVER,IAMC 'Final Energy|Transportation|Light-Duty Vehicle|Electricity' = 0.037307 EJ * 31.70979 = 1.183 GWa
Reference,Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2030,Hard bound (Min),0.33,0.33,GWa,0.011175076,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.0493721199,EJ,31.70979,1.565579553883821,NA,NA,NA,NA,NA,NA,FALSE,NA,1.235579553883821,374.41804663146087,OVER,IAMC 'Final Energy|Transportation|Light-Duty Vehicle|Electricity' = 0.049372 EJ * 31.70979 = 1.566 GWa
Reference,NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.5 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,306.3019469644291,Mt CO2/yr,1,306.3019469644291,NA,NA,NA,NA,NA,NA,TRUE,0.5,NA,NA,,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 306.3 Mt. Target = x0.50 of CM scenario (need CM run). If CM ≈ this: 153.2 Mt
Reference,NDC Conditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.5 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,372.0393043162186,Mt CO2/yr,1,372.0393043162186,NA,NA,NA,NA,NA,NA,TRUE,0.5,NA,NA,,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 372.0 Mt. Target = x0.50 of CM scenario (need CM run). If CM ≈ this: 186.0 Mt
Reference,NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2030,Hard bound (Max),0.85 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,306.3019469644291,Mt CO2/yr,1,306.3019469644291,NA,NA,NA,NA,NA,NA,TRUE,0.85,NA,NA,,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 306.3 Mt. Target = x0.85 of CM scenario (need CM run). If CM ≈ this: 260.4 Mt
Reference,NDC Unconditional,"Energy, Waste, IPP",Emissions,Reduction,2035,Hard bound (Max),0.83 times Current Measures,NA,Mt CO2/yr,NA,Emissions|CO2|Energy and Industrial Processes,372.0393043162186,Mt CO2/yr,1,372.0393043162186,NA,NA,NA,NA,NA,NA,TRUE,0.83,NA,NA,,IAMC 'Emissions|CO2|Energy and Industrial Processes' = 372.0 Mt. Target = x0.83 of CM scenario (need CM run). If CM ≈ this: 308.8 Mt
