gcam_scenario,target_scenario,Sector,Technology,Policy_Type,Year,MSG_Impl,Value,target_num,target_unit,GCAM_Share,iamc_var,iamc_raw,iamc_raw_unit,conversion,gcam_value,gen_var,gen_raw_EJ,gen_GWa,cf,cf_source,gen_implied_GW,is_ndc,ndc_mult,gap_abs,gap_pct,direction,ref_gcam_value,ref_gap_pct,cm_gcam_value,cm_gap_pct,gap_change_pct,cm_vs_ref,calc_note
CurrentMeasures,Current Measures,Power,Bio,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.08297,0.08297,GWa,0.004006471,Secondary Energy|Electricity|Biomass,0.00154903,EJ,31.70979,0.049119416003700005,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,-0.0338505839963,-40.79858261576473,UNDER,0.06172469172450001,-25.606012143545854,0.049119416003700005,-40.79858261576473,-15.192570472218875,WIDENING,IAMC 'Secondary Energy|Electricity|Biomass' = 0.001549 EJ * 31.70979 = 0.049 GWa
CurrentMeasuresRev,Current Measures,Power,Bio,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.08297,0.08297,GWa,0.004006471,Secondary Energy|Electricity|Biomass,0.00180825,EJ,31.70979,0.0573392277675,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,-0.0256307722325,-30.891614116548148,UNDER,0.06172469172450001,-25.606012143545854,0.049119416003700005,-40.79858261576473,-15.192570472218875,WIDENING,IAMC 'Secondary Energy|Electricity|Biomass' = 0.001808 EJ * 31.70979 = 0.057 GWa
Reference,Current Measures,Power,Bio,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.08297,0.08297,GWa,0.004006471,Secondary Energy|Electricity|Biomass,0.00194655,EJ,31.70979,0.06172469172450001,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,-0.021245308275499995,-25.606012143545854,UNDER,0.06172469172450001,-25.606012143545854,0.049119416003700005,-40.79858261576473,-15.192570472218875,WIDENING,IAMC 'Secondary Energy|Electricity|Biomass' = 0.001947 EJ * 31.70979 = 0.062 GWa
CurrentMeasures,Current Measures,Power,Bio,Total Capacity (GW),2025,Hard bound (Min/Max),0.278,0.278,GW,NA,Capacity|Electricity|Biomass,0.3034359978078155,GW,1,0.3034359978078155,Secondary Energy|Electricity|Biomass,0.00154903,0.049119416003700005,0.85,A23.globaltech_capacity_factor.csv,0.05778754823964707,FALSE,NA,0.02543599780781547,9.149639499214196,~OK,0.3515644705075836,26.462039750929346,0.3034359978078155,9.149639499214196,-17.31240025171515,CLOSED (on target),IAMC direct = 0.30 GW (gcamreport blended CF). Gen = 0.001549 EJ = 0.049 GWa / CF 0.8500 = 0.1 GW implied (A23.globaltech_capacity_factor.csv)
CurrentMeasuresRev,Current Measures,Power,Bio,Total Capacity (GW),2025,Hard bound (Min/Max),0.278,0.278,GW,NA,Capacity|Electricity|Biomass,0.3390399792859957,GW,1,0.3390399792859957,Secondary Energy|Electricity|Biomass,0.00180825,0.0573392277675,0.85,A23.globaltech_capacity_factor.csv,0.06745791502058823,FALSE,NA,0.061039979285995694,21.95682708129341,OVER,0.3515644705075836,26.462039750929346,0.3034359978078155,9.149639499214196,-17.31240025171515,CLOSED (on target),IAMC direct = 0.34 GW (gcamreport blended CF). Gen = 0.001808 EJ = 0.057 GWa / CF 0.8500 = 0.1 GW implied (A23.globaltech_capacity_factor.csv)
Reference,Current Measures,Power,Bio,Total Capacity (GW),2025,Hard bound (Min/Max),0.278,0.278,GW,NA,Capacity|Electricity|Biomass,0.3515644705075836,GW,1,0.3515644705075836,Secondary Energy|Electricity|Biomass,0.00194655,0.06172469172450001,0.85,A23.globaltech_capacity_factor.csv,0.07261728438176472,FALSE,NA,0.07356447050758358,26.462039750929346,OVER,0.3515644705075836,26.462039750929346,0.3034359978078155,9.149639499214196,-17.31240025171515,CLOSED (on target),IAMC direct = 0.35 GW (gcamreport blended CF). Gen = 0.001947 EJ = 0.062 GWa / CF 0.8500 = 0.1 GW implied (A23.globaltech_capacity_factor.csv)
CurrentMeasures,Current Measures,Power,Coal,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),2.345,2.345,GWa,0.113235791,Secondary Energy|Electricity|Coal,0.115671,EJ,31.70979,3.66790311909,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.3229031190899998,56.41377906567163,OVER,4.0280946237,71.77375794029851,3.66790311909,56.41377906567163,-15.359978874626876,CLOSING,IAMC 'Secondary Energy|Electricity|Coal' = 0.115671 EJ * 31.70979 = 3.668 GWa
CurrentMeasuresRev,Current Measures,Power,Coal,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),2.345,2.345,GWa,0.113235791,Secondary Energy|Electricity|Coal,0.119863,EJ,31.70979,3.80083055877,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.4558305587699998,62.08232659999998,OVER,4.0280946237,71.77375794029851,3.66790311909,56.41377906567163,-15.359978874626876,CLOSING,IAMC 'Secondary Energy|Electricity|Coal' = 0.119863 EJ * 31.70979 = 3.801 GWa
Reference,Current Measures,Power,Coal,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),2.345,2.345,GWa,0.113235791,Secondary Energy|Electricity|Coal,0.12703,EJ,31.70979,4.0280946237,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.6830946237000002,71.77375794029851,OVER,4.0280946237,71.77375794029851,3.66790311909,56.41377906567163,-15.359978874626876,CLOSING,IAMC 'Secondary Energy|Electricity|Coal' = 0.127030 EJ * 31.70979 = 4.028 GWa
CurrentMeasures,Current Measures,Power,Gas,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),4.9547,4.9547,GWa,0.239253465,Secondary Energy|Electricity|Gas,0.1987942,EJ,31.70979,6.3037223352180005,NA,NA,NA,0.85,A23.globaltech_capacity_factor.csv,NA,FALSE,NA,1.3490223352180006,27.227124451894174,OVER,6.861139220691,38.47738956326317,6.3037223352180005,27.227124451894174,-11.250265111369,CLOSING,IAMC 'Secondary Energy|Electricity|Gas' = 0.198794 EJ * 31.70979 = 6.304 GWa
